train_id,event_type,event_id,text,goal_info,match_info,match_result,card_info,substitution
21223385,:match_info:match_result:,1,"Chelsea cần chiến thắng trước Stoke City ở Stamford Bridge để cân bằng kỷ lục 13 chiến thắng của Arsenal ở cuối mùa 2001/02. Cuối cùng, đoàn quân của HLV Conte đã hoàn thành nhiệm vụ này khi vượt qua đối thủ với tỷ số 4-2",0,1,1,0,0
21223385,:goal_info:,2,"Tuy vậy, 1 phút sau, Chelsea đã cụ thể hóa sức ép liên tục bằng bàn thắng. Người lập công cho The Blues là đội trưởng Cahill với cú đánh đầu cận thành từ tình huống phạt góc.",1,0,0,0,0
21223385,:goal_info:,8,"Ngay đầu hiệp 2, Stoke City đã bất ngờ tìm được bàn thắng gỡ hòa. Từ tình huống cố định, Crouch đã nhả đầu cho Indi đệm bóng vào lưới thủ thành Courtois.",1,0,0,0,0
21223385,:goal_info:,3,"Phút 57, sau pha nhả bóng của Hazard, Willian đã tung ra cú dứt điểm cháy lưới của Stoke City, nâng tỷ số lên 2-1.",1,0,0,0,0
21223385,:goal_info:,4,Kịch tính của trận đấu được đẩy lên khi Stoke City đã có được bàn thắng gỡ hòa 2-2 ở phút 64.,1,0,0,0,0
21223385,:goal_info:,5,"Đúng 1 phút sau, Willian đã hoàn tất cú đúp, giúp Chelsea vượt lên dẫn trước với tỷ số 3-2.",1,0,0,0,0
21223385,:match_result:goal_info:,6,"Phút 84, Diego Costa đã chấm dứt hy vọng của Stoke City với bàn thắng ấn định chiến thắng 4-2 sau sai lầm của hậu vệ Indi bên phía Stoke City.",1,0,1,0,0
21223385,:goal_info:,7,"Ghi bàn: Cahill 34'; Willian 57', 65'; Costa 85' - Martins Indi 46'; Crouch 64'.",1,0,0,0,0
21231305,:match_info:,1,"Arsenal đứng trước nhiều áp lực trước thềm trận đấu với Crystal Palace, khi những đối thủ cạnh tranh như Chelsea, Liverpool, Tottenham và M.U đều giành chiến thắng",0,1,0,0,0
21231305,:goal_info:,7,"Tuy nhiên, chỉ 5 phút sau, Arsenal đã có bàn thắng mở tỷ số. Từ pha phản công nhanh, Sanchez đã tạt bóng vào trung lộ cho Giroud. Dù tiền đạo người Pháp đã di chuyển lỡ đà nhưng cầu thủ này đã thực hiện cú dứt điểm kiểu bọ cạp, tung lưới Crystal Palace",1,0,0,0,0
21231305,:goal_info:,4,"Sang hiệp 2, kịch bản vẫn không thay đổi khi Arsenal chơi lấn lướt hoàn toàn đối thủ. Phút 56, Iwobi đã đánh đầu cận thành và không cho thủ môn (và cả hậu vệ Palace) cơ hội cản phá",1,0,0,0,0
21231305,:match_result:,5,"Trước sự hưng phấn của Crsytal Palace, Arsenal đã chủ động giảm nhịp độ trận đấu. Cuối cùng, trận đấu khép lại với chiến thắng 2-0 của ""Pháo thủ""",0,0,1,0,0
21231956,:match_info:,1,"Như thường lệ, các cầu thủ Chelsea nhập cuộc khá chậm, để đội khách Stoke kiểm soát bóng nhiều hơn.",0,1,0,0,0
21231956,:goal_info:,2,"Phút 33, thủ môn Grant xuất sắc phá được bóng trong chân của Costa và Hazard, nhưng bất lực trước cú đánh đầu dũng mãnh ngay sau đó của G. Cahill, Chelsea có bàn mở tỷ số",1,0,0,0,0
21231956,:goal_info:,3,"Bất ngờ xảy ra ngay đầu hiệp 2 : phút 46, C. Adam đá phạt, P. Crouch đánh đầu đưa bóng vào trước vòng cấm của Chelsea, M. Indi nhanh chân đưa bóng vào lưới thủ môn Courtois, cân bằng tỷ số 1-1 cho Stoke",1,0,0,0,0
